# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	379383
#@/user_id	1ce8a279-56fe-406e-b0d5-b1f889d2d1cd
a 	吖	c=1 d=6.68205e-52 t=379383
a 	啊	c=1783 d=0.77517 t=379383
a 	嗄	c=1 d=4.975e-52 t=379383
a 	錒	c=2 d=5.52578e-52 t=379383
a 	阿	c=14 d=2.72879e-06 t=379383
a a 	啊啊	c=1 d=5.7337e-16 t=379383
a a a 	啊啊啊	c=10 d=3.21074e-10 t=379383
a a a a 	啊啊啊啊	c=10 d=0.0300468 t=379383
a a a a a 	啊啊啊啊啊	c=3 d=1.39623e-15 t=379383
a bo luo 	阿波羅	c=1 d=3.83116e-96 t=379383
a bu 	阿布	c=0 d=4.89728e-103 t=379383
a cheng 	阿城	c=1 d=0 t=379383
a ci ti 	啊磁體	c=1 d=4.40214e-289 t=379383
a de 	阿德	c=1 d=1.09302e-17 t=379383
a di 	阿迪	c=1 d=1.33848e-18 t=379383
a di da si 	阿迪達斯	c=1 d=0 t=379383
a er 	阿爾	c=1 d=1.62191e-13 t=379383
a er de li qi 	阿爾德里奇	c=1 d=1.08757e-17 t=379383
a gan 	阿甘	c=1 d=1.90301e-11 t=379383
a gen ting 	阿根廷	c=1 d=9.60922e-32 t=379383
a ha 	啊哈	c=2 d=1.87069e-221 t=379383
a hua tian 	阿華田	c=1 d=3.94528e-59 t=379383
a ka 	阿卡	c=0 d=2.14995e-65 t=379383
a ka bei la 	阿卡貝拉	c=1 d=2.16073e-64 t=379383
a ke su 	阿克蘇	c=4 d=8.09127e-61 t=379383
a la bo 	阿拉伯	c=2 d=9.96199e-15 t=379383
a la bo wen 	阿拉伯文	c=2 d=1.67761e-39 t=379383
a la bo yu 	阿拉伯語	c=2 d=2.67118e-59 t=379383
a li 	阿里	c=15 d=0.00855743 t=379383
a li ba ba 	阿里巴巴	c=4 d=4.97093e-13 t=379383
a li yun 	阿里雲	c=30 d=0.0526021 t=379383
a li zhong xin 	阿里中心	c=1 d=3.53804e-42 t=379383
a lie 	啊咧	c=7 d=1.15271e-178 t=379383
a lun 	阿倫	c=1 d=7.71371e-94 t=379383
a qi shi 	啊其實	c=1 d=4.47425e-98 t=379383
a sang 	啊桑	c=1 d=0 t=379383
